County,State,Distance
Oldham County,TX,258.33444
Pecos County,TX,256.98236
Alcorn County,MS,256.57037
Lamar County,AL,256.51633
Hand County,SD,256.38333
Lee County,AR,255.92043
Beaver County,OK,255.70792
Madison County,AR,255.42953
Carter County,OK,255.13812
Rolette County,ND,255.11513
Tunica County,MS,255.00079
Lea County,NM,254.95233
Mclean County,ND,254.90324
Fayette County,TN,254.82556
Cherry County,NE,253.8438
Carter County,MT,253.78415
Carroll County,AR,253.56729
Ada County,ID,253.23175
Wibaux County,MT,253.13669
Oliver County,ND,252.81978
Kodiak Island Borough,AK,252.58348
Sheridan County,KS,252.5352
Lyman County,SD,252.46187
Mcintosh County,OK,252.0847
Texas County,OK,251.83864
Tate County,MS,251.59569
Mchenry County,ND,251.35149
Mobile County,AL,251.02464
Campbell County,SD,251.01408
Fulton County,AR,250.6835
Lowndes County,MS,250.63753
Presidio County,TX,250.56544
Arthur County,NE,250.32498
Ozark County,MO,249.93289
Buffalo County,SD,249.50476
Scott County,KS,249.34818
Rawlins County,KS,249.23012
Bailey County,TX,249.14873
Franklin County,AL,249.09839
Garfield County,UT,249.08658
Elko County,NV,248.86102
Elmore County,ID,248.70258
Cross County,AR,248.04517
Lawrence County,TN,247.14915
Thomas County,NE,247.1069
Lauderdale County,MS,246.91614
Faulk County,SD,246.4675
Winkler County,TX,246.41966
Wayne County,TN,246.39853
Maury County,TN,246.19969
Brewster County,TX,245.95612
Norton County,KS,245.94307
Clay County,TN,245.63362
Comanche County,OK,245.62244
Choctaw County,AL,245.31859
Parmer County,TX,244.82211
Macon County,TN,244.19142
Custer County,OK,244.03049
Trousdale County,TN,243.72601
St. Francis County,AR,243.53773
Lauderdale County,AL,243.38924
Gove County,KS,243.25688
Camas County,ID,243.25253
White Pine County,NV,242.84554
Stanton County,KS,242.83186
Logan County,KS,242.65974
Lake Of The Woods County,MN,241.6817
Grant County,KS,240.72603
Cherokee County,OK,240.38925
Mcnairy County,TN,240.2774
Stephens County,OK,240.01704
Tripp County,SD,239.48764
Canyon County,ID,239.45222
Pontotoc County,OK,239.29813
Hitchcock County,NE,239.21114
Murray County,OK,238.43193
Hughes County,OK,238.27783
Roosevelt County,NM,238.10571
Caddo County,OK,237.20348
Graham County,KS,237.01024
Wichita County,KS,236.97357
Ellis County,OK,236.95494
Campbell County,WY,236.93195
Jackson County,AR,236.8437
Stevens County,KS,236.61752
Desoto County,MS,236.34413
Garden County,NE,236.03841
Kearny County,KS,235.96695
Blaine County,ID,235.94583
Boone County,AR,235.91663
Gem County,ID,235.08958
Red Willow County,NE,234.6801
Craighead County,AR,234.64841
Marion County,AL,233.57777
Colbert County,AL,233.53801
Logan County,NE,233.11176
Pickens County,AL,232.68053
Union County,NM,232.5954
Hardeman County,TN,232.32013
Muskogee County,OK,230.99039
Lawrence County,AL,230.7263
Smith County,TN,230.47963
Washington County,AR,230.44856
Lincoln County,NE,230.33981
Ketchikan Gateway Borough,AK,230.26071
Baldwin County,AL,228.32596
Winston County,AL,228.28122
Lewis County,TN,228.08611
Spink County,SD,227.77852
Blaine County,NE,227.69899
Box Butte County,NE,227.55234
Sharp County,AR,227.24663
Lander County,NV,227.22675
Wilson County,TN,227.12546
Pierce County,ND,226.6265
Douglas County,MO,226.20708
Shelby County,TN,225.96039
Williamson County,TN,225.43596
Fayette County,AL,225.20853
Greene County,AL,225.14888
Pickett County,TN,225.05008
Clarke County,AL,224.8121
Monroe County,KY,224.2715
Natrona County,WY,224.14351
Fallon County,MT,224.07143
Giles County,TN,223.85892
Mayes County,OK,223.43639
Dawson County,MT,223.28476
Sumner County,TN,222.91443
Oregon County,MO,222.69199
Cumberland County,KY,222.44653
Edmunds County,SD,222.0004
Thomas County,KS,221.34671
Marshall County,TN,221.29948
Reeves County,TX,221.27028
Morgan County,AL,221.07704
Frontier County,NE,220.84651
Sumter County,AL,220.41466
Baca County,CO,220.33885
Jackson County,TN,218.66985
Hickman County,TN,218.14105
