id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
4894,University of North Florida,1 UNF Drive,Jacksonville,Florida,TRUE,TRUE,Building 12 — Thomas G. Carpenter Library,Gender-neutral restroom is located on the 3rd floor of the Library behind the elevator.,30.271632,-81.509435,2014-02-12 21:31:15.649000+00:00,2014-02-12 21:31:15.649000+00:00,1,0,United States,FALSE,4894,TRUE,9.67383232,112.495633
4893,University of North Florida,1 UNF Drive,Jacksonville,Florida,TRUE,TRUE,Building 10 — Honors Hall,Gender-neutral restroom is located on the 2nd floor above the Disability Resource Center.,30.271632,-81.509435,2014-02-12 21:30:19.975000+00:00,2014-02-12 21:30:19.975000+00:00,1,0,United States of America,FALSE,4893,TRUE,9.67383232,112.495633
4895,University of North Florida,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Building 12 — Thomas G. Carpenter Library — Starbucks,"Two gender-neutral restrooms are located in Starbucks (if you are facing the Starbucks counter, the bathrooms are toward the back on your right).",30.271632,-81.509435,2014-02-12 21:32:03.191000+00:00,2014-02-12 21:32:03.191000+00:00,1,0,United States,FALSE,4895,TRUE,9.67383232,112.495633
4900,University of North Florida Building 41,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Located on the 9A entrance near the Child Development Research Center.,Martin P. Garris Police Building,30.271632,-81.509435,2014-02-12 21:45:17.766000+00:00,2014-02-12 21:45:17.766000+00:00,1,0,United States,FALSE,4900,TRUE,9.67383232,112.495633
4901,University of North Florida Building 57,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,There is one gender-neutral restroom located on each floor of the West wing of the building.,College of Education and Human Services,30.271632,-81.509435,2014-02-12 21:49:53.511000+00:00,2014-02-12 21:49:53.511000+00:00,1,0,United States,FALSE,4901,TRUE,9.67383232,112.495633
4902,University of North Florida Building 58,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,"Three gender-neutral restrooms are located on the East side of the building. There is one gender-neutral restroom on each floor (rooms 1314-9, 2314-9, 3313-9).

 

Two gender-neutral restrooms are located on the West side of the building. There is one gender-neutral restroom located within the Student Union Auditorium (2703-9) and one gender-neutral restroom on the third floor (3808-9).

",Student Union,30.271632,-81.509435,2014-02-12 21:52:49.221000+00:00,2014-02-12 21:52:49.221000+00:00,1,0,United States,FALSE,4902,TRUE,9.67383232,112.495633
4903,University of North Florida Building 61,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Gender neutral locker room is on the first floor by the womens locker room.,Student Wellness Complex,30.271632,-81.509435,2014-02-12 22:01:56.214000+00:00,2014-02-12 22:01:56.214000+00:00,1,0,United States,FALSE,4903,TRUE,9.67383232,112.495633
4897,University of North Florida,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Building 14B — Housing Office,,30.271632,-81.509435,2014-02-12 21:34:21.513000+00:00,2014-02-12 21:34:21.513000+00:00,1,0,United States,FALSE,4897,TRUE,9.67383232,112.495633
4904,University of North Florida Building 62,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Osprey Fountains - Every Floor of Both Towers!,Housing Maintenance Facilities,30.271632,-81.509435,2014-02-12 22:03:12.443000+00:00,2014-02-12 22:03:12.443000+00:00,1,0,United States,FALSE,4904,TRUE,9.67383232,112.495633
4898,University of North Florida Building Building 39A,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Gender-neutral restroom is located on the 1st floor by the men’s and women’s restrooms.,,30.271632,-81.509435,2014-02-12 21:35:59.074000+00:00,2014-02-12 21:35:59.074000+00:00,1,0,United States,FALSE,4898,TRUE,9.67383232,112.495633
4896,University of North Florida,1 UNF Drive,Jacksonville,FL,TRUE,TRUE,Building 14 — Robinson Theater,Two gender-neutral restrooms are located in the atrium of the Robinson Theater. Please note that these bathrooms are usually locked unless there is an event going on in the Theater.,30.271632,-81.509435,2014-02-12 21:32:54.492000+00:00,2014-02-12 21:32:54.492000+00:00,1,0,United States,FALSE,4896,TRUE,9.67383232,112.495633
17341,"1 University of North Fl Drive, Jacksonville, FL 32224, USA",1 University of North Fl Drive,Jacksonville,Florida,TRUE,TRUE,The Student Union has a gender neutral bathroom on each floor in the East building and one on the 2nd and 3rd floors of the west building. ,,30.2719059,-81.509166,2015-05-04 15:39:38.521000+00:00,2015-05-04 15:39:38.521000+00:00,0,0,US,FALSE,17341,TRUE,9.68012433,112.366898
40373,Costco,7996 Parramore Rd,Jacksonville,Florida,TRUE,TRUE,In the tire center near the front,It’s Costco so they expect you to have a membership. Just say your browsing and not buying,30.2017257,-81.756888,2018-03-12 21:31:19.556000+00:00,2018-03-12 21:31:19.556000+00:00,0,0,US,FALSE,40373,TRUE,10.851081,217.81196
41598,Mama Fu's,11105 San Jose Blvd,Jacksonville,FL,TRUE,TRUE,"Near the back of the restaurant, on the left wall.",,30.1743807,-81.627416,2018-06-01 03:44:22.046000+00:00,2018-06-01 03:44:22.046000+00:00,0,0,US,FALSE,41598,TRUE,11.0325976,169.855704
58201,Trader Joes,11112 San Jose Blvd,Jacksonville,FL,TRUE,TRUE,In the back of produce section ,,30.173927,-81.630198,2021-07-09 00:03:12.552000+00:00,2021-07-09 00:03:12.647000+00:00,0,0,US,FALSE,58201,TRUE,11.0395068,170.863269
63834,Kyo,Ashcroft landing dr,Jacksonville,Florida,TRUE,TRUE,,,30.3286657,-81.462343,2022-11-02 12:18:34.247000+00:00,2022-11-02 12:18:34.340000+00:00,0,0,US,FALSE,63834,TRUE,11.5307325,91.0426378
38837,"13546 Beach Blvd, Jacksonville, FL 32224, USA",13546 Beach Blvd,Jacksonville,Florida,TRUE,TRUE,Walk to the back and turn left,,30.2870895,-81.460265,2017-11-29 21:33:15.936000+00:00,2017-11-29 21:33:15.936000+00:00,0,0,US,FALSE,38837,TRUE,12.0638897,102.996045
43242,Kohls,Crosshill Blvd,Jacksonville,Florida,TRUE,TRUE,"If you're coming in from one of the front entrances, it's to the left all the way in the back. It's a ""family"" restroom. ","There is a return desk beside the bathroom, so you may get a look going in alone. ",30.197736,-81.827309,2018-08-27 17:28:51.621000+00:00,2018-08-27 17:28:51.621000+00:00,0,0,US,TRUE,43242,TRUE,13.8286085,231.930785
38697,The Home Depot,9751 Crosshill Blvd,Jacksonville,FL,TRUE,TRUE,Right next to mens restroom,,30.1994645,-81.83037,2017-11-17 12:57:10.730000+00:00,2020-04-14 21:19:14.010000+00:00,0,0,US,TRUE,38697,TRUE,13.8852711,232.779172
32710,GE Oil and Gas ,12970 Normandy Blvd.,Jacksonville ,FL,TRUE,TRUE,Two Unisex stalls off the lobby past the security desk.,"Must be here as a visitor, worker, or customer.",30.2540122,-81.874894,2017-03-02 06:53:46.594000+00:00,2017-03-02 06:53:46.594000+00:00,0,1,US,FALSE,32710,TRUE,14.1511307,250.376206
42626,Elevate Life Church,8650 Merchants Way,Jacksonville,Florida,TRUE,TRUE,"In front of you, to the left of the main entrance (or to the right if the family entrance). In between the men's and women's rooms. ",Elevate churchgoers are very energetic so they might try to talk you into getting involved in the church.,30.189938,-81.829439,2018-07-28 22:12:02.825000+00:00,2018-07-28 22:12:02.825000+00:00,0,0,US,TRUE,42626,TRUE,14.2884639,230.699595
30550,Delicomb,102 6th Ave N,Jacksonvilee,Florida ,TRUE,TRUE,,,30.2945926,-81.391281,2017-02-26 16:54:44.740000+00:00,2017-02-26 16:54:44.740000+00:00,0,0,US,FALSE,30550,TRUE,15.9812472,98.0927422
19707,Home Depot - Sandclastle Plaza,A1A/Third Street and Butler Blvd,Jacksonville Beach,Florida ,TRUE,TRUE,In the back of the stor,,30.2545811,-81.388265,2015-12-28 16:43:09.016000+00:00,2015-12-28 16:43:09.016000+00:00,0,0,US,FALSE,19707,TRUE,16.8289577,106.184168
